name,Description,Location,tags
Twitch,A global community creating the future of live entertainment.,"San Francisco, CA, USA","W07,Consumer,Content"
PlanGrid,Mobile applications for the construction industry.,"San Francisco, CA, USA","W12,Real Estate and Construction,Construction"
Bellabeat,Tech-powered women's wellness.,"San Francisco, CA, USA","W14,Consumer,Consumer Electronics"
Cruise,Self-driving cars.,"San Francisco, CA, USA","W14,Industrials,Automotive"
Benchling,Unlocking the power of biotech with modern software for modern science,"San Francisco, CA, USA","S12,B2B"
Casetext,We make the world's laws free and understandable. ,"San Francisco, CA, USA","S13,B2B,Legal"
Bird,The world’s largest omnichannel communications platform,"Amsterdam, NH, Netherlands","S16,B2B,Engineering, Product and Design"
Brex,"Business accounts, corporate cards, and spend management software.","San Francisco, CA, USA","W17,Fintech,Banking and Exchange"
The Athletic,Subscription sports media.,"San Francisco, CA, USA","S16,Consumer,Content"
Codecademy,The leading online learning platform for technical skills.,"New York, NY, USA","S11,Education"
Checkr,People infrastructure for the future of work,"San Francisco, CA, USA","S14,B2B,Human Resources"
Lever,Talent Acquisition Suite that combines ATS + Talent CRM,"San Francisco, CA, USA","S12,B2B,Recruiting and Talent"
Clipboard Health,Connects healthcare facilities with nurses nearby.,Remote,"W17,Healthcare,Healthcare Services"
Heap,Captures user interactions with no code to generate analytics.,"San Francisco, CA, USA","W13,B2B,Analytics"
Sendwave,"Instant, no fee international remittances.","Boston, MA, USA","W12,Fintech,Payments"
Deel,The all-in-one HR and payroll platform for global teams,"San Francisco, CA, USA","W19,B2B,Finance and Accounting"
Clever,The platform that powers technology in the classroom.,"San Francisco, CA, USA","S12,Education"
Caper,Plug-and-play cashier-less retail powered by computer vision and AI,,"W16,B2B,Retail"
EquipmentShare,Cloud solutions for the construction industry.,"Columbia, MO, USA","W15,Real Estate and Construction,Construction"
Reddit,The frontpage of the internet.,"San Francisco, CA, USA","S05,Consumer,Content"
Fivestars,Customer loyalty and payments platform for small businesses.,"San Francisco, CA, USA","W11,B2B,Retail"
Machine Zone,Pioneers of mobile social gaming.,"Palo Alto, CA, USA","W08,Consumer,Gaming"
Faire,The global online platform empowering independent retail.,"San Francisco, CA, USA","W17,B2B,Retail"
Fivetran,The leader in automated data movement,"Oakland, CA, USA","W13,B2B,Infrastructure"
Optimizely,The first all-in-one operating system for marketing,"San Francisco, CA, USA","W10,B2B,Engineering, Product and Design"
Flexport,Platform for global logistics.,"San Francisco, CA, USA","W14,B2B,Supply Chain and Logistics"
WePay,Payments for platform businesses.,"Redwood City, CA, USA","S09,Fintech,Payments"
Weebly,Build a free website that grows with your business.,"San Francisco, CA, USA","W07,B2B,Marketing"
Flock Safety,The first public safety operating system that eliminates crime.,"Atlanta, GA, USA","S17,B2B,Engineering, Product and Design"
Sqreen,Sqreen is the application security platform for the modern enterprise,"San Francisco, CA, USA","W18,B2B,Security"
NURX,"Medicine or testing kit, prescribed online and delivered to your door.","New York, NY, USA","W16,Healthcare,Consumer Health and Wellness"
Go1,A learning platform that enables you to train your staff or customers.,"San Francisco, CA, USA","S15,B2B,Human Resources"
CoreOS,Open source tools of modern distributed systems.,"San Francisco, CA, USA","S13,B2B,Infrastructure"
Bear Flag Robotics,Autonomous driving technology for farm tractors.,"Newark, CA, USA","W18,Industrials,Agriculture"
GOAT Group,"Platform for the greatest products from the past, present and future.","Los Angeles, CA, USA","W11,Consumer,Apparel and Cosmetics"
Heroku,Enabling developers to build and run applications in the cloud.,"San Francisco, CA, USA","W08,B2B,Infrastructure"
Groww,"Making financial services simple, transparent and delightful. ","Bengaluru, KA, India","W18,Fintech"
GrubMarket,AI-powered technology enabler and digital transformer of American…,"San Francisco, CA, USA","W15,B2B,Supply Chain and Logistics"
HelloSign,eSignature software for small and mid-market businesses.,"San Francisco, CA, USA","W11,B2B,Productivity"
Zenefits,"HR for small businesses: onboarding, payroll and benefits.","San Francisco, CA, USA","W13,B2B,Human Resources"
Gusto,Provides growing businesses with everything to take care of their team,"San Francisco, CA, USA","W12,B2B,Human Resources"
Honeylove,Honeylove makes functional undergarments for women,"San Francisco, CA, USA","S18,Consumer,Apparel and Cosmetics"
Modern Fertility,At-home fertility test for women who aren't ready for kids right now…,"San Francisco, CA, USA","S17,Healthcare,Consumer Health and Wellness"
Cognito,"Frictionless, modern identity verification that starts with just a…","Palo Alto, CA, USA","S14,B2B,Engineering, Product and Design"
OpenInvest,Values based personalization at scale for asset and wealth management,"San Francisco, CA, USA","S15,Fintech"
Meesho,Democratizing internet commerce for everyone in India,"Bengaluru, KA, India","S16,B2B,Retail"
Mixpanel,Mixpanel is event analytics for builders that need answers.,"San Francisco, CA, USA","S09,B2B,Analytics"
Paystack,Modern payments infrastructure for Africa,"Lagos, LA, Nigeria","W16,Fintech,Payments"
Moxion Power Co.,Mobile Energy Storage Technology,"Richmond, CA, USA","W21,Industrials,Energy"
DrChrono,The essential platform for modern medical practices and patients.,"CA, USA","W11,Healthcare,Healthcare IT"
OMGPop,An independent flash game studio.,"New York, NY, USA","S06,Consumer,Gaming"
Newfront,Modern insurance brokerage.,"San Francisco, CA, USA","W18,Fintech,Insurance"
North,Wearable computing hardware: biosignal gesture recognition,"Kitchener, ON, Canada","W13,Consumer,Virtual and Augmented Reality"
Nowports,The core engine of supply chain in LATAM,,"W19,B2B,Supply Chain and Logistics"
Odeko,Our operations software makes it easier to run--and grow--your cafe,"New York, NY, USA","S19,B2B"
GitPrime,Visibility and analytics for software development leaders.,"Durango, CO, USA","W16,B2B,Engineering, Product and Design"
Proxy,Smart ring digital wallet,"San Francisco, CA, USA","S16,Consumer,Consumer Electronics"
FutureAdvisor,The online financial management service for everyone.,"San Francisco, CA, USA","S10,Fintech,Consumer Finance"
Podium,Get more leads. Make more money. ,"Lehi, UT, USA","W16,B2B,Retail"
Rappi,On-demand delivery and financial services for Latin America.,"Bogotá, Bogota, Colombia","W16,Consumer,Food and Beverage"
Razorpay,India's only full-stack financial solutions company for businesses.,"Bengaluru, KA, India","W15,Fintech,Payments"
Rippling,"One place to run all your HR, IT, and Finance. Globally.","San Francisco, CA, USA","W17,B2B,Human Resources"
Scale AI,Data-centric infrastructure to accelerate the development of AI ,"San Francisco, CA, USA","S16,B2B,Engineering, Product and Design"
Scentbird,Scentbird is a luxury fragrance subscription service.,"New York, NY, USA","S15,Consumer,Apparel and Cosmetics"
Scribd,World's largest online library.,"San Francisco, CA, USA","S06,Consumer,Content"
ShipBob,Providing Amazon level logistics to e-commerce businesses. ,"Chicago, IL, USA","S14,B2B,Supply Chain and Logistics"
SmartAsset,Marketplace connecting consumers to financial advisors,"New York, NY, USA","S12,Fintech,Consumer Finance"
Stripe,Economic infrastructure for the internet.,"San Francisco, CA, USA","S09,Fintech"
Wave,Mobile money app for Africa,"Dakar, Dakar Region, Senegal","W12,Fintech,Payments"
Webflow,Professional website design and publishing platform. ,"San Francisco, CA, USA","S13,B2B,Marketing"
Whatnot,Whatnot is the largest livestream shopping platform in the U.S.,"Los Angeles, CA, USA","W20,Consumer"
Zapier,The easiest way to automate your work.,"Mountain View, CA, USA","S12,B2B,Productivity"
Zepto,10-Minute Grocery Delivery in India,"MH, India","W21,Consumer,Food and Beverage"
Focal Systems,Building the Operating System for B&M Retail using Deep Learning,"New York, NY, USA","W16,B2B,Retail"
Mio,Mio powers seamless communication between workplace chat apps.,"Austin, TX, USA","W16,B2B,Engineering, Product and Design"
Daily,The best video experiences run on Daily,"San Francisco, CA, USA","W16,B2B,Productivity"
Petcube,Petcube is on the mission to improve lives of pets and pet owners…,"San Francisco, CA, USA","W16,Consumer,Consumer Electronics"
Outschool,A live online learning platform that empowers kids ages 3–18.,"San Francisco, CA, USA","W16,Education"
Mason,Mason is the fastest way to take smart devices from idea to end user,"Seattle, WA, USA","W16,B2B"
MagicBus,We make vanpool simple.,"Los Angeles, CA, USA","W16,Consumer,Transportation Services"
Tovala,A smart-oven-paired subscription meal service.,"Chicago, IL, USA","W16,Consumer,Home and Personal"
iSono Health,AI-powered platform for Accessible and Personalized Breast Health…,"San Francisco, CA, USA","W16,Healthcare,Medical Devices"
GetAccept,Close deals faster. Digitally.,"San Francisco, CA, USA","W16,B2B,Sales"
Chatfuel,Platform to easily create chatbots to engage with audiences on…,"San Francisco, CA, USA","W16,B2B,Engineering, Product and Design"
Yardbook,Marketplace & Software Revolutionizing Yard Care,"San Mateo, CA, USA","W16,B2B,Finance and Accounting"
GoCardless,We’re building the world’s bank payment network.,"London, England, United Kingdom","S11,Fintech,Consumer Finance"
Stealth Worker,"Information Security (Cyber Security), Compliance and Privacy (GDPR &…","Menlo Park, CA, USA","W16,B2B,Recruiting and Talent"
Deepgram,Building foundational AI for speech transcription and understanding.,"San Francisco, CA, USA","W16,B2B,Engineering, Product and Design"
SOUNDBOKS,We're creating the loudest battery-driven speaker on the market,"Copenhagen, Denmark","W16,Consumer,Consumer Electronics"
Lattice,Modern people management platform.,"San Francisco, CA, USA","W16,B2B,Human Resources"
Mux,Video infrastructure for developers,"San Francisco, CA, USA","W16,B2B,Infrastructure"
Human Interest,The 401(k) for small and medium-sized businesses.,"San Francisco, CA, USA","S15,B2B,Human Resources"
Flirtey (SkyDrop),Flirtey is the world’s first commercial drone delivery service and…,"Reno, NV, USA","S15,Industrials,Drones"
Eight Sleep,The sleep fitness company.,"New York, NY, USA","S15,Consumer,Home and Personal"
Instawork,A flexible work app that connects businesses with hourly workers.,"San Francisco, CA, USA","S15,B2B,Recruiting and Talent"
Cofactor Genomics,Cofactor closes the precision medicine gap with predictive diagnostics,"St. Louis, MO, USA","S15,Healthcare,Diagnostics"
Click & Grow,Click & Grow makes indoor urban gardens and farms that take complete…,"Palo Alto, CA, USA","S15,Consumer,Home and Personal"
Bitmovin,Powers OTT online video providers with video developer tools.,"San Francisco, CA, USA","S15,B2B,Infrastructure"
TetraScience,The only R&D data cloud for life sciences,"Boston, MA, USA","S15,Healthcare,Healthcare IT"
The Ticket Fairy,Revenue generation for live events,"Los Angeles, CA, USA","S15,Consumer,Travel, Leisure and Tourism"
HER,"HER helps lesbian, bisexual and queer people meet each other","San Francisco, CA, USA","S15,Consumer,Social"
Font Awesome,Icons and social logos for your website.,"Bentonville, AR, USA","S15,B2B,Engineering, Product and Design"
"80,000 Hours",An online guide that tells talented graduates how to maximise the…,"London, England, United Kingdom","S15,Unspecified"
Xendit,Provides payment infrastructure for Southeast Asia,"Jakarta, Jakarta, Indonesia","S15,Fintech,Payments"
Shred Video,Shred Video builds automated video & photo systems that allow…,"San Francisco, CA, USA","S15,Consumer,Content"
Shape (ShapeScale),ShapeScale is a personal 3D scanner and fitness tracker that…,"San Francisco, CA, USA","S15,Consumer,Consumer Electronics"
RedCarpetUp,Credit cards for Indians that banks cannot see,"Gurugram, HR, India","S15,Fintech,Consumer Finance"
Plate IQ,Automated Accounts Payable,"New York, NY, USA","S15,Fintech,Payments"
PickTrace,Workforce Management for Large Farms,"Los Angeles, CA, USA","S15,Industrials,Agriculture"
Fountain,High volume hiring made simple,"San Francisco, CA, USA","S15,B2B,Recruiting and Talent"
MicroHealth,Digital hematology,"New York, NY, USA","S15,Healthcare,Consumer Health and Wellness"
Zeplin,Deliver on the Promise of Design,"San Francisco, CA, USA","S15,B2B,Engineering, Product and Design"
Markhor,Markhor is a DTC company that works with craftsmen to make shoes and…,"San Francisco, CA, USA","S15,Consumer,Apparel and Cosmetics"
Circle Medical,Modern primary care via video and in-person,"San Francisco, CA, USA","S15,Healthcare,Consumer Health and Wellness"
GiveCampus,The fundraising platform for schools.,"Washington, DC, USA","S15,Education"
Drip Capital,Digital trade financing for small businesses,"MH, India","S15,Fintech,Credit and Lending"
Chaldal,,"Dhaka, Dhaka Division, Bangladesh","S15,Consumer,Food and Beverage"
Clerky,Makes legal paperwork easy for startups and their attorneys.,"Palo Alto, CA, USA","S11,B2B,Legal"
Bodyport,Predicting and preventing heart disease.,"San Francisco, CA, USA","S15,Healthcare,Consumer Health and Wellness"
Verge Genomics,We use human data and AI to develop better drugs faster.,"San Francisco, CA, USA","S15,Healthcare,Drug Discovery and Delivery"
Thrive Agritech,We design and manufacture energy efficient LED lighting fixtures for…,"New York, NY, USA","S15,Industrials,Agriculture"
Tesorio,Tesorio is the cash flow performance platform that helps finance…,"San Francisco, CA, USA","S15,B2B,Finance and Accounting"
AgileMD,Predictive analytics and clinical pathways for hospitals ,"San Francisco, CA, USA","S11,Healthcare,Healthcare IT"
Reach Labs,"Long range, wireless energy distribution that scales","Emeryville, CA, USA","S15,Industrials,Energy"
SunFarmer,Reliable and affordable solar energy in developing countries.,"Kathmandu, Central Development Region, Nepal","S15,Industrials,Climate"
Confident LIMS,Laboratory Information Management System (LIMS) serving…,"Palo Alto, CA, USA","S15,B2B,Operations"
Branch8,Branch8 helps sellers to list and manage products on e-commerce…,"Kowloon, Hong Kong","S15,B2B,Retail"
Heroic Labs,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","London, England, United Kingdom","S15,Consumer,Gaming"
SnapMagic,AI copilot for electronics design,"San Francisco, CA, USA","S15,B2B,Engineering, Product and Design"
Scope AR,Scope AR is the leading provider of User Guided Augmented Reality…,"San Francisco, CA, USA","S15,Consumer,Virtual and Augmented Reality"
PartnerStack,PartnerStack is a full stack solution for partnerships.,"Toronto, ON, Canada","S15,B2B,Marketing"
Assembly,Advanced manufacturing and distribution solutions (for China-based…,"Redwood City, CA, USA","S15,B2B,Supply Chain and Logistics"
Gemnote,"Gemnote is the easiest way to design, create and send custom products.","San Leandro, CA, USA","S15,B2B,Office Management"
New Story,We pioneer solutions to end the global housing crisis by empowering…,"Atlanta, GA, USA","S15,Real Estate and Construction"
Ironclad,Digital contracting platform for legal teams.  ,"San Francisco, CA, USA","S15,B2B,Legal"
Leaders In Tech (formerly InnerSpace),"Helping founders improve themselves, their companies, and the world.","San Francisco, CA, USA","S15,Unspecified"
teaBOT,A robot that makes tea!,"Toronto, ON, Canada","S15,B2B,Human Resources"
Teleport,"The easiest, most secure way to access all your infrastructure","Oakland, CA, USA","S15,B2B,Infrastructure"
Lugg,"Move anything, anytime, anywhere","San Francisco, CA, USA","S15,Consumer,Home and Personal"
Shasqi,Pioneering Click Chemistry in Humans to change cancer outcomes,"San Francisco, CA, USA","W15,Healthcare,Drug Discovery and Delivery"
Mashgin,Self-Checkout using Computer Vision.,"Palo Alto, CA, USA","W15,B2B,Retail"
Spire Health,Remote patient monitoring for lung disease patients.,"San Francisco, CA, USA","W15,Healthcare,Consumer Health and Wellness"
NimbleRx,On-demand prescription delivery.,"Redwood City, CA, USA","W15,Healthcare,Consumer Health and Wellness"
Quartzy,Marketplace for life science supplies.,"Hayward, CA, USA","S11,Healthcare,Healthcare IT"
Replika,Replika is an AI friend that you can talk to designed to make you…,"San Francisco, CA, USA","W15,Consumer,Content"
Tara AI,"Meet Tara AI, your new engineering efficiency co-pilot.","San Jose, CA, USA","W15,B2B,Productivity"
Flip,Community-driven marketplace for sneakers.,"Los Angeles, CA, USA","W15,Consumer,Apparel and Cosmetics"
X-Zell,"Early, pain-free cancer detection. ","Singapore, Singapore","W15,Healthcare,Diagnostics"
Transcriptic,The robotic cloud laboratory for the life sciences.,"Menlo Park, CA, USA","W15,Healthcare,Healthcare Services"
Zenflow,"Medical device that provides a more effective, less invasive…","South San Francisco, CA, USA","W15,Healthcare,Medical Devices"
Tab,"Revolutionising the way travellers discover, plan and book a trip","London, England, United Kingdom","W15,Consumer,Travel, Leisure and Tourism"
Science Exchange,Powering scientific outsourcing,"Palo Alto, CA, USA","S11,Healthcare,Healthcare Services"
Priime,Priime is a company dedicated to advancements in technology around…,"San Francisco, CA, USA","W15,Consumer,Social"
Streak,Streak transforms Gmail into a powerful CRM,Remote,"S11,B2B,Sales"
Meadow,Point of Sale and Compliance SaaS for Cannabis Dispensaries,"San Francisco, CA, USA","W15,B2B,Retail"
Level Frames,Software eats custom framing,"NY, USA","W15,Consumer,Home and Personal"
Industrial Microbes,We design and build microbes to make chemicals greener at lower cost.,"Alameda, CA, USA","W15,Healthcare,Industrial Bio"
Giveffect,"Fundraising, Volunteer and Donor Management SaaS for nonprofits.","New York, NY, USA","W15,B2B,Finance and Accounting"
eBrandvalue,Real-time Nielsen ratings for Brands.Accelerate marketing and product…,"Mountain View, CA, USA","W15,B2B,Marketing"
Quantierra,Sourcing investment real estate,"New York, NY, USA","W15,Real Estate and Construction,Housing and Real Estate"
Cleanly,Laundry & Dry Cleaning delivered.,"New York, NY, USA","W15,Consumer,Home and Personal"
Resolve,"VR simulations for operations, maintenance and construction teams.","New York, NY, USA","W15,B2B,Infrastructure"
Makrwatch,Scale new user acquisition with YouTube Creators,"New York, NY, USA","W15,B2B,Marketing"
TeamNote,Mobile Productivity(Slack for mobile workforces),"Hong Kong, Hong Kong","W15,B2B,Productivity"
Tempo,Live home fitness training powered by computer vision.,"San Francisco, CA, USA","W15,Healthcare,Consumer Health and Wellness"
SIRUM,SIRUM is a “match.com” for unused medicine. We connect institutional…,"Palo Alto, CA, USA","W15,Unspecified"
Sails Co.,"Full-service web, mobile, & cloud studio providing professional…","Austin, TX, USA","W15,B2B,Engineering, Product and Design"
ReadMe,"Beautiful, personalized, interactive developer hubs","San Francisco, CA, USA","W15,B2B,Engineering, Product and Design"
BuildScience,The operating system for commercial buildings.,"Niagara Falls, NY, USA","W15,Real Estate and Construction,Housing and Real Estate"
Platzi,Latin America's School of Technology,"San Francisco, CA, USA","W15,Education"
Labdoor,Labdoor is building the trusted online drugstore.,"San Francisco, CA, USA","W15,Consumer,Food and Beverage"
GiveMeTap,We produce & sell stainless steel water bottles that enables people…,"London, England, United Kingdom","W15,Consumer,Home and Personal"
Bankjoy,An end-to-end digital banking solution for banks and credit unions,"Troy, MI, USA","W15,Fintech,Banking and Exchange"
Zeitview,Inspection software for renewable energy & sustainable infrastructure,"Santa Monica, CA, USA","W15,Industrials,Drones"
The Human Utility,The Human Utility seeks to eliminate water service disconnections for…,"Oakland, CA, USA","W15,Unspecified"
Democracy Earth,Censorship resistant democracies. ,"Madrid, Community of Madrid, Spain","W15,Unspecified"
OneSignal,Engage customers through personalized omni-channel messaging,"San Mateo, CA, USA","S11,B2B,Marketing"
Atomwise,Artificial intelligence for drug discovery.,"San Francisco, CA, USA","W15,Healthcare,Drug Discovery and Delivery"
Bright,Sunrun for the developing world,"Mexico City, CDMX, Mexico","W15,Industrials,Energy"
Magic,Extremely talented assistants for busy people,"Washington, DC, USA","W15,B2B"
Mezmo,Observability platform to control all of your log data,"San Jose, CA, USA","W15,B2B,Infrastructure"
Akido Labs,"Unlocking data to tackle homelessness, chronic disease, and more","Los Angeles, CA, USA","W15,Healthcare,Healthcare IT"
Qventus,We automate operations for hospitals and health systems,"San Francisco, CA, USA","W15,Healthcare,Healthcare IT"
Bayes Impact,Tech nonprofit building the future of public services.,"San Francisco, CA, USA","S14,Unspecified"
Helion Energy,Building the world's first fusion power plant,"Everett, WA, USA","S14,Industrials,Energy"
HackerRank,Accelerate the World's Innovation ,"Mountain View, CA, USA","S11,B2B,Recruiting and Talent"
Front,Customer communications hub for building strong relationships,"San Francisco, CA, USA","S14,B2B,Productivity"
Apollo,Apollo helps engineering teams accelerate delivery,"San Francisco, CA, USA","S11,B2B,Infrastructure"
Roomstorm,Real time B2B hotel room marketplace for various industries…,"Redwood City, CA, USA","S14,Consumer,Travel, Leisure and Tourism"
Hive,Email and SMS marketing platform,"Kitchener, ON, Canada","S14,B2B,Marketing"
Tenjin,Mobile marketing analytics and infrastructure,"San Francisco, CA, USA","S14,B2B,Marketing"
SpotAngels,Waze for parking,"San Francisco, CA, USA","S14,Consumer,Transportation Services"
UserGems,AI-powered sales solution based on your best customers,Austria,"S14,B2B,Recruiting and Talent"
SFOX,Crypto-currency trading platform.,"Los Angeles, CA, USA","S14,Fintech,Banking and Exchange"
PicnicHealth,Empowering Patients for Deep Real World Data,"San Francisco, CA, USA","S14,Healthcare"
Permutive,Rebuilding data in advertising to protect privacy,"London, England, United Kingdom","S14,B2B,Marketing"
Hiro Systems,Hiro Systems build developer tools for Bitcoin L1 and the Stacks L2,"New York, NY, USA","S14,B2B,Infrastructure"
Alchemy,Nanotechnology-enabled coatings for automotive and defence sectors,"Waterloo, ON, Canada","S14,Industrials,Manufacturing and Robotics"
MTailor,Get measured by your phone in under 30 seconds for perfect fitting…,"San Francisco, CA, USA","S14,Consumer,Apparel and Cosmetics"
MetricWire,Mobile surveys for researchers,"Kitchener, ON, Canada","S14,Healthcare,Healthcare IT"
Protocol Labs,"Protocol Labs makes internet protocols: IPFS, Filecoin, and more.","Palo Alto, CA, USA","S14,B2B,Infrastructure"
Greentoe,"""Name Your Price"" for products","New York, NY, USA","S14,Consumer,Consumer Electronics"
Hyperpad,"Create, Share, Play Mobile Games on the iPad.","London, ON, Canada","S14,Consumer,Gaming"
Flaviar,Try-at-home service for fine spirits,"New York, NY, USA","S14,Consumer,Food and Beverage"
Clear,"Fintech SaaS platform for invoices, taxes, wealth management & credit.","Bengaluru, KA, India","S14,Fintech,Consumer Finance"
Billforward,"Subscription billing, rate plan management and analytics as a…","San Francisco, CA, USA","S14,Fintech,Payments"
Backpack,Marketplace to get stuff from overseas,"San Francisco, CA, USA","S14,Consumer,Home and Personal"
Aptible,The No Infrastructure Platform as a Service,"San Francisco, CA, USA","S14,B2B,Infrastructure"
Immunity Project,The free HIV vaccine.,"San Francisco, CA, USA","W14,Unspecified"
Dyspatch,Two products to help everyone email better. Dyspatch.io - Email…,"Victoria, BC, Canada","W14,B2B,Marketing"
OpenCurriculum,Helping K-12 teachers and school administrators build awesome…,"Mountain View, CA, USA","W14,Unspecified"
MixerBox,AI Super-Apps to Live Easier | The anything anytime superapps…,"Palo Alto, CA, USA","W14,Consumer"
Unbabel,AI-powered Language Operations platform,"San Francisco, CA, USA","W14,B2B,Operations"
Y Combinator,Not your average fixed point combinator.,"Mountain View, CA, USA",Fintech
GBatteries,Enabling li-ion batteries to charge ultra fast without compromising…,"Ottawa, ON, Canada","W14,Industrials,Climate"
Zinc,The secret backbone of e-commerce. ,"San Francisco, CA, USA","W14,B2B,Retail"
Zidisha,Direct P2P lending across the international wealth divide.,"Sterling, VA, USA","W14,Fintech,Credit and Lending"
TrueVault,We make Privacy Software for SMBs.,"San Francisco, CA, USA","W14,B2B"
Guesty,The management platform for the short term rental industry.,"Tel Aviv-Yafo, Tel Aviv District, Israel","W14,Real Estate and Construction,Housing and Real Estate"
Snapdocs,Digital mortgage closing,"San Francisco, CA, USA","W14,Real Estate and Construction,Housing and Real Estate"
Medmonk,A tool for pharmacists to find funding for patients who are unable to…,"Milpitas, CA, USA","W12,Healthcare,Healthcare Services"
Shoobs,We help you find and book tickets to great entertainment events that…,"London, England, United Kingdom","W14,Consumer,Travel, Leisure and Tourism"
Pushbullet,Push things to your other things.,"San Francisco, CA, USA","W14,Consumer,Home and Personal"
Povio,Engineering and Design that Fuels Startup Success,"San Francisco, CA, USA","W14,B2B,Engineering, Product and Design"
PiinPoint,PiinPoint helps businesses find the best locations for growth,"Kitchener, ON, Canada","W14,B2B,Office Management"
Theorem,The mission of Theorem is to make credit safe and available. We use…,"San Francisco, CA, USA","W14,Fintech,Asset Management"
One Degree,One Degree is a nonprofit organization that makes it easy for…,"San Francisco, CA, USA","W14,Unspecified"
MBX,A global multi-brand beauty and personal care startup.,"San Francisco, CA, USA","W14,Consumer,Apparel and Cosmetics"
Emailio,Email built for wellness,Remote,"W14,B2B,Productivity"
DevCycle,Feature Flag Management Built for Developers,"Toronto, ON, Canada","W14,B2B,Engineering, Product and Design"
Axoni,Axoni is building the next generation of capital markets technology,"New York, NY, USA","W14,Fintech,Banking and Exchange"
CodeNow,Our mission is to diversify the talent pipeline of students who…,"Chicago, IL, USA","W14,Unspecified"
CodeCombat,Game that teaches computer science to middle and high school kids.,"San Francisco, CA, USA","W14,Education"
Noora Health,Training patients and their families with health skills,"Bengaluru, KA, India","W14,Unspecified"
Cambly,On-demand access to English tutors over video chat.,"San Francisco, CA, USA","W14,Education"
AptDeco,AptDeco is the easiest way to buy and sell used furniture,"New York, NY, USA","W14,Consumer,Home and Personal"
CareMessage,Patient engagement using text messaging,"San Francisco, CA, USA","W14,Healthcare"
Ambition,Coaching and gamification software for sales teams. ,"Chattanooga, TN, USA","W14,B2B,Sales"
AirHelp,"AirHelp helps air passengers get compensation for delayed, cancelled…","Berlin, Berlin, Germany","W14,Consumer,Travel, Leisure and Tourism"
42,Analytics stack for omnichannel retailers and brands,"San Francisco, CA, USA","W14,B2B,Retail"
True Link,Financial Services for Financial Caregivers. ,"San Francisco, CA, USA","S13,Fintech"
Reebee,Flyer app.,"Kitchener, ON, Canada","S13,Consumer,Home and Personal"
Lob,Lob is the only automation platform that transforms direct mail into…,"San Francisco, CA, USA","S13,B2B,Marketing"
Panorama Education,Improving education for every student.,"Boston, MA, USA","S13,Education"
Cratejoy,Cratejoy is the platform for subscriptions,"Austin, TX, USA","S13,B2B,Retail"
"Estimote, Inc.",Location intelligence platform,"Kraków, Lesser Poland Voivodeship, Poland","S13,B2B,Supply Chain and Logistics"
EasyPost,The shipping infrastructure of the internet.,"San Francisco, CA, USA","S13,B2B,Supply Chain and Logistics"
Asseta,Marketplace for industrial spare parts and capital equipment.,"Newport Beach, CA, USA","S13,B2B"
Per Vices,Building Mission Critical Software Defined Radio products.,"Toronto, ON, Canada","W12,Industrials"
7cups,7 Cups is an emotional support service that matches up people that…,"Virginia Beach, VA, USA","S13,Healthcare,Healthcare Services"
